timestamp,longitude,latitude,external-temperature,altitude
2006-11-12 12:03:04,11.048721,46.0111481,11.0,1607.81
2006-11-12 16:03:04,11.048721,46.0111481,9.0,1607.81
2006-11-12 20:03:04,11.048721,46.0111481,8.0,1607.81
2006-11-13 00:02:24,11.048721,46.0111481,6.0,1607.81
2006-11-13 04:01:23,11.0452845,46.0124013,2.0,1603.96
2006-11-13 08:02:21,11.0229824,46.0036535,6.0,1603.29
2006-11-13 12:00:49,11.0231164,46.0057126,13.0,1665.82
2006-11-13 16:01:48,11.0206009,46.007475,9.0,1660.12
2006-11-13 20:01:23,11.0403231,46.0124012,6.0,1620.65
2006-11-14 00:00:55,11.0427266,46.0115588,5.0,1608.21
2006-11-14 04:00:55,11.0450607,46.0121696,7.0,1614.94
2006-11-14 08:01:53,11.0467218,46.0072915,11.0,1614.49
2006-11-14 12:03:04,11.0485449,46.0072012,16.0,1614.45
2006-11-14 16:01:48,11.0471594,46.0078421,13.0,1608.21
2006-11-14 20:01:24,11.0458681,46.0112237,7.0,1623.33
2006-11-15 00:00:50,11.0467707,46.0109573,7.0,1625.51
2006-11-15 04:00:56,11.0481011,46.0109912,8.0,1598.24
2006-11-15 08:01:11,11.0468905,46.0072105,12.0,1644.04
2006-11-15 12:01:17,11.0470574,46.0075665,14.0,1619.72
2006-11-15 16:00:55,11.0431557,46.0081152,10.0,1605.3
2006-11-15 20:00:56,11.0419886,46.0092768,8.0,1616.85
2006-11-16 00:00:44,11.0416114,46.0109416,10.0,1625.81
2006-11-16 04:02:47,11.0436148,46.0122867,11.0,1620.43
2006-11-16 08:01:24,11.0435846,46.0069791,12.0,1620.22
2006-11-16 12:01:51,11.043815,46.0064429,13.0,1622.17
2006-11-16 16:01:24,11.0428909,46.0079718,13.0,1612.36
2006-11-16 20:01:52,11.043195,46.0094964,11.0,1614.12
2006-11-17 00:00:56,11.0441465,46.0106758,10.0,1619.58
2006-11-17 04:01:47,11.0459946,46.0122659,10.0,1618.5
2006-11-17 08:02:22,11.0437743,46.0065857,11.0,1631.86
2006-11-17 12:03:10,11.043735152073973,46.007386320374046,16.0,1610.27329014732
2006-11-17 16:00:55,11.0436965,46.0081768,11.0,1588.96
2006-11-17 20:02:17,11.0440771,46.0122183,11.0,1588.86
2006-11-18 00:00:56,11.0484726,46.0117121,10.0,1604.27
2006-11-18 04:01:40,11.0485092,46.0124765,11.0,1536.13
2006-11-18 08:03:00,11.0450598,46.0080881,12.0,1551.22
2006-11-18 12:01:23,11.0451571,46.0067887,16.0,1548.92
2006-11-18 16:01:55,11.0435592,46.0070003,11.0,1622.11
2006-11-18 20:00:54,11.0461073,46.0114525,10.0,1618.23
2006-11-19 00:00:49,11.0464042,46.0108255,11.0,1624.36
2006-11-19 04:00:44,11.0445885,46.0113926,11.0,1614.93
2006-11-19 08:03:08,11.043727474211677,46.00983174480175,11.0,1616.256906025601
2006-11-19 12:01:11,11.0428819,46.0082989,14.0,1617.56
2006-11-19 16:00:56,11.0445021,46.0086505,10.0,1596.5
2006-11-19 20:01:23,11.047635,46.0105715,7.0,1605.76
2006-11-20 00:00:43,11.0479429,46.0118142,7.0,1603.03
2006-11-20 04:00:54,11.0465893,46.0112082,12.0,1615.26
2006-11-20 08:03:10,11.046808095509355,46.00942489571725,12.0,1614.141846153846
2006-11-20 12:01:54,11.0470237,46.0076676,13.0,1613.04
2006-11-20 16:01:26,11.0464483,46.012554,7.0,1602.87
2006-11-20 20:00:54,11.0467547,46.0116151,8.0,1620.24
2006-11-21 00:00:53,11.0454093,46.0123666,10.0,1618.81
2006-11-21 04:00:55,11.0457557,46.0123743,9.0,1609.64
2006-11-21 08:01:53,11.0440727,46.0064094,11.0,1606.32
2006-11-21 12:02:41,11.0436222,46.0064069,12.0,1607.97
2006-11-21 16:00:56,11.0444406,46.0083962,11.0,1609.89
2006-11-21 20:01:45,11.0462303,46.0115845,6.0,1608.23
